place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere
ChIJXX6SwozNHkcRIKwSid6g3-g,Freyda Hossain,en,en,4,3 months ago,"I order fresh fruits, but they didn't give me. They give me the cake that I took picture although I never order it. I didn't eat it, but I still paid for it. It's okay, maybe it just misunderstanding. The rice was so oily for me",1720212865,False,Negative,Negative,None
ChIJXX6SwozNHkcRIKwSid6g3-g,Md HISAM 2.0,en,en,5,4 months ago,The place is  wonderful and food is so good and testy i will go again. The restaurant decorations is just wow 🌱🌿🍲,1717541413,False,Positive,None,Positive
ChIJXX6SwozNHkcRIKwSid6g3-g,Europe Explorer,en,en,5,a year ago,"It’s a food heaven and a must  visit restaurant for everyone living or visiting  Warsaw ….. they have team of expert chef which offers traditional Uzbek pulaav with sambosa full of mince meat . Soups n salads were amazing and you would love to drink compote . Perfect and huge space for all kind of gatherings like birthday , wedding and have separate rooms for family . Most interesting all their is fresh and HALAL",1694336731,False,Positive,Positive,Positive
ChIJXX6SwozNHkcRIKwSid6g3-g,Barış Kesik,en,en,5,4 months ago,"Very delicious food, perfect sweets. Recommend to try banana-chocolate dessert.",1719749105,False,Positive,None,None
ChIJXX6SwozNHkcRIKwSid6g3-g,Ali M m,en,en,5,a month ago,"Amazing food
if you are looking for best halal food in the center that's the best choice",1726402018,False,Positive,None,None
ChIJ-0U6maHNHkcR1VM8EKMTa24,Lam Duong,en,en,5,2 months ago,"This is definitely the most authentic Vietnamese restaurant in Poland.It has almost everything that you can find in Vietnam. We spent 2 days in Poland and we gotta eat here twice because the food was so so good. I recommend the mango salad, Bê trên mây ( I dont have photo here because it was so good that we finished it very quickly lol), Nem chua rán, tôm trứng muối … I mean everything here is good. The staff is 100/100, he knows every details about the food and he gave us a lot of advices when we didn’t know what to pick.
P/s: Trà vải is the best drink everrrr",1722811551,False,Positive,Positive,Positive
ChIJ-0U6maHNHkcR1VM8EKMTa24,Đậu Ao Vịt Giời,en,en,5,3 months ago,"Stepping into this Vietnam traditional restaurant is like entering a culinary portal to the heart of Vietnam itself. The owner's meticulous attention to detail shines through in every aspect, from the authentic decor and interior design to the vibrant flavors that transport diners to the bustling streets of Hanoi or Ho Chi Minh City. They proudly offer the most unique selection of Vietnam's dishes in Warsaw, inviting patrons to expand their palate beyond familiar favorites like Pho Bo and Saigonki.

Their menu is a treasure trove of lesser-known delights such as hot pot and other rare meats dishes like goat, pigeon, and mussels—each dish a revelation of flavors and textures. This restaurant isn't just about food; it's an immersive cultural experience that celebrates Vietnam's rich culinary heritage. Whether you're a seasoned fan of Vietnamese cuisine or a newcomer eager to explore, this place promises an unforgettable journey into the heart of Vietnam's gastronomy. Don't miss the opportunity to indulge and discover.",1720954697,False,Positive,None,Positive
ChIJ-0U6maHNHkcR1VM8EKMTa24,Dandelion Ng,en,en,5,2 months ago,"Authentic Vietnamese food! We’ve visited this place twice, and the presence of many Vietnamese customers speaks to the authenticity of the cuisine. The Beef Pho and Vegetarian Pho with Tofu are both delicious. Cozy atmosphere and friendly staff! If you want to try Vietnamese food in Warsaw, this place is the best.

Update: I came back yesterday and ordered Bun Cha. It was crazy delicious!",1723542760,False,Positive,Positive,Positive
ChIJ-0U6maHNHkcR1VM8EKMTa24,Puja Kyryliuk,en,en,4,9 months ago,"This is my first time trying Vietnamese food. It's not a waste of time to come here, the food is really delicious, it tastes 100% Asian hehe. the place is not too far from my hotel, and the staff is also very friendly, I really like the salted egg prawns, beyond expectations... the rice is also very delicious, really authentic Asian,just the tea I ordered was a bit too bitter, but it's okay. The place is spacious and comfortable,... Over all good.",1706728682,False,Positive,Positive,Positive
ChIJ-0U6maHNHkcR1VM8EKMTa24,Alexander Lelebin,en,en,3,2 months ago,The food was okayish. But they definitely need to take care of the cleanliness much more - the tables were super dirty. And the broken door to the toilet won't allow you to have any privacy 😅.,1723826212,False,Negative,None,Negative
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,sofia,en,en,5,a month ago,"This restaurant is an absolute gem! The food and service were outstanding, offering an authentic taste of traditional Polish cuisine. If you're looking to experience local flavors, this is the place to go. We especially loved the goose-filled dumplings, the duck with caramelized apples, and the mushrooms. Every bite was a delight, and the staff made us feel incredibly welcome. Highly recommend!",1726405566,False,Positive,Positive,Positive
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,DaBoss Robert,en,en,5,a month ago,Amazing gastronomic meal. Dumplings are the best I have had so far and my lamb was just fantastic. Even their bread was 5 star.,1726516668,False,Positive,Positive,Positive
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,Kaolhi Ly,en,en,5,2 months ago,"Wow! Their dumplings are out of this world. They are all hand-made in the kitchen. It was a 5-minute walk from my hotel. We had the most wonderful service that evening, with an awesome host and server. Please come by here if you're in the Warsaw area!",1723461215,False,Positive,Positive,None
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,Dorota Drzewińska,en,en,5,a week ago,"Wonderful food, traditionally Polish with a modern twist. The service was excellent, the food delicious, the ambiance chill and cosy. Everything we had was top notch - goose filled pierogi, veal pierogi, Guinea fowl, beef cheeks. Highly recommended.",1729584189,False,Positive,Positive,Positive
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,--,en,en,2,3 months ago,"Tourist trap, the food was extremely average, especially so at the price.
It looks fancy but are the chefs even tasting their food?

The Chanterelles were so sweet it was basically inedible. The other dishes bland and ordinary.
The duck was good but the sauces very strong and overpowering.

Overall, food very average and overpriced.
I would not recommend this place.",1720192257,False,Negative,None,Negative
ChIJNx5NkYbMHkcR_RSufQAAqHs,Louise,en,en,4,2 months ago,"Fascinating place with tonnes of history. Awesome ‘Communist’ themed menu and decor in keeping with the vibe. Good food, friendly service and very reasonable value. Salmon was tasty and a good size and the apple pie dessert was delicious.",1722615194,False,Positive,Positive,Positive
ChIJNx5NkYbMHkcR_RSufQAAqHs,Asgard,en,en,4,4 months ago,"I loved the setting and the meals. The standard menu is quite pricey, but you can get a meal for a decent price during lunch hours. If you're a foreigner, make sure to ask for the lunch menu, as they might not give it to you automatically. I will definitely be back!",1719429367,False,Positive,Positive,Positive
ChIJNx5NkYbMHkcR_RSufQAAqHs,Tamara Daku,en,en,5,3 weeks ago,"Fantastic food and several traditional options. Olek was a fantastic waiter and took care of us for the afternoon. We stopped in for a drink and appie on a rainy afternoon and never left. Definitely recommend the sauerkraut, and the tomatoe and avocado tartare is devine. Lot of history in this restaurant- a worthy stop!",1727969715,False,Positive,Positive,Positive
ChIJNx5NkYbMHkcR_RSufQAAqHs,Whitney Sorensen,en,en,5,2 months ago,We ate here twice during out stay in Warsaw and I would have gone a third time if I had the chance. Everything was amazing! Their drinks and cocktails are delicious and made with care. The food is outstanding! Their borscht is perfect and the perogies and the most authentic and delicious we've had during our stay. I had Ukranian perogies with my borscht and the seasonal forest fruits with sweet cream. Don't miss this spot!,1722861872,False,Positive,Positive,Positive
ChIJc_XUnN0zGUcRO3vDfBlv6yA,M S,en,en,5,2 months ago,"Such a tasteful experience!!!
I ordered basmati rice, chicken tikka masala and garlic naan bread! Everything was full-flavored, it really reminds me the taste of the original indian food!
The atmosphere was so peaceful, with a simple decoration and healing sounds as a background music!
The service was perfect and very welcoming
Namaste 🙏",1724091523,False,Positive,Positive,Positive
ChIJc_XUnN0zGUcRO3vDfBlv6yA,parisha jindal,en,en,1,a month ago,Worst experience. We ordered paneer tikka masala and they sent us butter chicken or fish (for aure that is notbpqneer). It was a huge disappointment since we are vegetarians. We tried to call the restarant but everytime call ended asking to send a sms which we did but there was no response from the restaurant. For sure we are not going to order from here again.,1727078642,False,Positive,Positive,Positive
ChIJc_XUnN0zGUcRO3vDfBlv6yA,John McCormack Jr,en,en,5,5 months ago,Ate there after 23 hours of travel and it hit the spot. I could have eaten it here every night it was so good.,1715725428,False,Positive,Positive,None
ChIJc_XUnN0zGUcRO3vDfBlv6yA,Ray B.,en,en,4,a month ago,This is really a nice restaurant. The staff is very friendly and the food really good. In case you are not used to the spice level they adjust. I can just recommend this place; especially if you are in the Hampton Hilton it is just a few meters. Go and test.,1726507770,False,Positive,Positive,None
ChIJc_XUnN0zGUcRO3vDfBlv6yA,Katerina Kurzownik,en,en,5,5 months ago,"I recently had the pleasure of dining at this place, and it was an exceptional experience from start to finish. The menu offered a diverse selection of dishes, each one more tempting than the last.

A special mention must go to our waiter, Harsh. From the moment we were seated, he made us feel welcome and attended to our every need with genuine warmth and professionalism.

Thank You very much for the good experience with an Indian cuisine!",1717358164,False,Positive,Positive,Positive
ChIJqS4vpdfNHkcR1UOVSox0tbs,Anastasiia Demenko,en,en,5,a week ago,"I love coming back here every time I fly to Warsaw. The atmosphere is very pleasant, and I especially enjoy the summer terraces when the weather allows. I’m also a huge fan of their red borscht—it’s a must-try!",1729647429,False,Positive,Positive,Positive
ChIJqS4vpdfNHkcR1UOVSox0tbs,Oksana Kharchenko,en,en,5,5 months ago,"The cuisine is simple but incredibly tasty. We love Ukrainian borsht here.
The fish of the day is also always really tasty. The selection of mini desserts is large enough for two. I would especially like to note the service and atmosphere, it’s good, like home. Especially on the summer terrace.🌸",1715980045,False,Positive,Positive,Positive
ChIJqS4vpdfNHkcR1UOVSox0tbs,Atomic Vibro,en,en,5,6 months ago,"The food and service is outstanding here, one of the best restaurants in Warsaw to visit. Food is always fresh with mouthwatering taste combinations. They also serve traditional barszcz and it’s amazing, only found here. The stakes are also very good, with great cuts of meat and served exactly how you like it. For nice weather you can sit on the patio and enjoy.  The best waiter is Marcin so make sure to request his services.",1714481391,False,Positive,Positive,Positive
ChIJqS4vpdfNHkcR1UOVSox0tbs,Ksusha Efimenko,en,en,5,a month ago,"Amazing place with high level service. Jazz music, tasty food with nice vibe. Borsch is must have to try 😋",1727030292,False,Positive,Positive,Positive
ChIJqS4vpdfNHkcR1UOVSox0tbs,Julia Kiwa,en,en,5,a year ago,"I read a lot of reviews here and was pretty concerned about what experience we would have.
But it was great!
We came at about 1PM on Saturday and were seated inside though the whole place was booked out. It is pretty crowded at about 2PM already. But the stuff was managing it.
Yes, you need to wait a bit, but to be honest it wasn’t so bad that I’d be frustrated or late to the meeting I had after.
The stuff was very pleasant and helpful. Very respectful and careful with us.
The food was amazing! 🤩
We tried dumplings Set and Double dumplings, also the dumplings with cherries. And it was not too much and not too little for three ladies.
We loved the most Dumplings with cherries and double dumplings with potato and mushrooms.
The coffee, also I’m very picky with it was good. For Warsaw (don’t get me wrong I love Warsaw, but mostly it’s hard with good coffee here) it was pretty good.
The prices are not low, but looking at the place itself you wouldn’t expect otherwise. But I can’t say it’s super expensive - no.",1697310514,False,Positive,Positive,Positive
ChIJb7MfUuLMHkcRepGaJjqmp0w,Tatiana Młynarska,en,en,2,5 months ago,"I have mixed feelings. What I disliked most about the place - the long awaiting of the food or drinks. I was literally becoming crazy of waiting for anything what was ordered, it was so long. And even no bread was suggested as it usually is in many restaurants. The place itself is bright, white, but without anything special. I didn’t catch any cozy vibes. When finally the first food was served, I did enjoy tomatoes with a mozzarella, fish/potato pancakes were good, and asparagus was interesting. I totally disliked the taste of the cauliflower soup with a… chocolate - bad improvising, it was impossible to eat. For the main course I had pasta - it was okay, as tbo I wanted to order “schabowy” in the first place, but they told us that meat has finished - okay, that’s super crazy and very unprepared. We didn’t come at night, or one hour before closing, or whatever. If you have this dish in the menu, please do serve, do plan the products for the kitchen. I literally don’t get it and I don’t respect such attitude. Pasta was acceptable. For the desert I had an eggnog which was frozen like a dead ice and I couldn’t eat it. Outside there is a big terrace with a beautiful view.",1717020943,False,Negative,Positive,Negative
ChIJb7MfUuLMHkcRepGaJjqmp0w,Katerina K,en,en,5,a month ago,"Ideal place for a drink/apero after the walking in the park with a view. It was a hot day but was windy up here. Haven’t tried the food, was not impressed with a menu. Service is okay, good wine selection",1726518809,False,Positive,Positive,Positive
ChIJb7MfUuLMHkcRepGaJjqmp0w,Justine Edinger,en,en,5,6 months ago,"The food was really good, I can recommend the elderflower lemonade! The view was nice and the ambience as well! The waitress was super cute! Sometimes you had to wait a little but still would recommend!",1713173914,False,Positive,Positive,Positive
ChIJb7MfUuLMHkcRepGaJjqmp0w,Jack Spideicy,en,en,5,a year ago,"Great restaurant with interesting dishes. The food quality is high and in my opinion matches the prices. Moreover, the service was really good, especially the waitress Mariola, who had a fun way of serving us.",1689202251,False,Positive,Positive,Positive
ChIJb7MfUuLMHkcRepGaJjqmp0w,Adrian Brewin,en,en,4,a month ago,I think this place had a lovely view but we visited in the evening. Very attentive staff. We enjoyed local food that was delicious and lovely wine all in a large vaulted hall.,1727295167,False,Positive,Positive,Positive
ChIJkcQeUBXNHkcRtMPJ1vS1jUE,Borko Miličić,en,en,5,2 months ago,"Great food, large portions, friendly staff and decent prices.  They have excellent lemonade with various flavors.  Hearty recommendation.",1724836102,False,Positive,Positive,None
ChIJkcQeUBXNHkcRtMPJ1vS1jUE,Abdel Mouliom,en,en,5,a month ago,Best Buttter Chicken Masala I’ve tasted in Poland! Would definitely come back again.,1725299189,False,Positive,None,None
ChIJkcQeUBXNHkcRtMPJ1vS1jUE,MysticaiSha,en,en,5,a month ago,"I ordered food from wolt. I received it very fast, As this restaurant is near to me. Unfortunately, one item was missing and i know it's not your fault. Because, sometimes it happens. Anyway when i called them and told this they bring it and gave one extra maybe for this mistake.
Anyway, the food was very tasty and portion size was also large compared to other restaurants. I recommend this place.",1726143447,False,Positive ,None,None
ChIJkcQeUBXNHkcRtMPJ1vS1jUE,Christian,en,en,5,2 years ago,"Very tasty authentic Indian food and very friendly service. 👍
The Chicken Tikka was very juicy and tasteful. The Curry was yummy and just right spicy. The Mango lassi was delicious. Highly recommend!",1657738586,False,Positive,Positive ,None
ChIJkcQeUBXNHkcRtMPJ1vS1jUE,Simon Pyza,en,en,5,2 months ago,Authentic Indian (Punjabi) cuisine. Fantastic food made out of fresh ingredients and very polite and attentive service. Very strongly recommended. Reasonable priced too! Warsaw needs places like that.,1725118312,False,Positive,Positive,None
CPositive hIJCSOp9_LMHkcR9nDDjO76MkQ,Andrew Shi,en,en,4,3 months ago,"It's a bit tricky. Ordering one main dish is too little, Ordering one starter and one main dish is too much. The food was quite good. One of the staff - smiling and friendly, the other one - the opposite.",1722203122,False,Positive,Positive,None
ChIJCSOp9_LMHkcR9nDDjO76MkQ,Magdalena Grudzien,en,en,4,2 months ago,"Place is extremely small. When booking a table one gets info that one has 1,5 hour to stay. It impacts the pace of serving food: some didn't manage to finish straters before the main course was served. It does create some pressure. We took: khachapuri with spicy meat, eggplant rolls, dolma, shopska salad and vegetables (ajabsandali). For main course: lula kebap, pielmieni, kebabcheta (could be softer), plejskavica and gufta soup (very spicy). All the food was OK, but knowing cuisine of that region, not of the highest level. Staff is friendly and very polite.",1722778588,False,Negative,Positive,Negative
ChIJCSOp9_LMHkcR9nDDjO76MkQ,Guido Theuns,en,en,5,a month ago,"We've had the pleasure of eating at Georgian restaurants twice before (once in München and once in Katowice), and both times loved it.
So, in our search for a nice restaurant in the area of where we were staying in Warsaw, we found this one on Google Maps, and decided to try it. We were once again very happy with our choice 😁
We shared a traditional sausage (an acquired taste, to be fair), Then an adjar chachapuri (boat shaped bread with white cheese and an egg), which is a stable favourite of ours and was very tasty here as well.
The kinkhali with meat were delicious and so was the lula kebab. Georgian food has herbs and spices different from what we are used to in (western) Europe, so once again, we were surprised with some great new flavours.
To top it off, we had the honey and chocolate cake. Just ""😋"" will have to convey our opinion.
Oh, and I almost forgot to mention the Georgian pear lemonade. I even bought a few bottles to take home!
Total costs: €67 for two people.",1725223135,False,Positive,Positive,None
ChIJCSOp9_LMHkcR9nDDjO76MkQ,Daniel Avraham,en,en,5,a month ago,"Perfect restaurant!
Every dish is very accurate and delishes
The service was perfect, especially Magda which was awesome!
Definitely a keeper 😍🤩🦄",1727293294,False,Positive,Positive,None
ChIJCSOp9_LMHkcR9nDDjO76MkQ,12 12,en,en,2,2 months ago,"A small restaurant has four tables in the near area of the door and it has another eating area inside. I was in the eating area close to the door. They have air conditioner but it doesn’t work even in the hot temperature with 29 degrees Celsius. Girls in the restaurant don’t have smile on their face. That is why I gave one star, also a girl tried to collect my soup without my confirmation. Because I have not finished it yet.

They refused people to get to the inside area including me, but some people had a free access to get in, I don’t know the reasons.

Soup: tomato soup with beef and rice has some rice. It was delicious, but I think I can cook the same one.

Steamed dumplings: was good and juicy. But you have eaten Chinese dumplings, maybe you won’t eat the Georgian dumplings again.",1723722635,False,Positive,Negative,Negative
ChIJwS7rmO7MHkcRuwToXWka7gs,PAUL RITZ,en,en,5,4 months ago,"What a tasty place to eat!!! Especially if you want meat! They have well cooked meat centric meals here. They have your Keto friendly dishes, too. I ate a couple of different meals here when I was staying at a nearby hotel. Definitely eat here for your carnivore cravings!",1718303071,False,Positive,None,None
ChIJwS7rmO7MHkcRuwToXWka7gs,Max Ge,en,en,1,2 months ago,"Poor quality sausages and poor quality of the rest of what is on the plate.  Furthermore, the staff doesn't care about you. This is not unusual, as most bar and restaurant workers in Poland are rude, calling you YOU, not Sir, which is unacceptable in Polish culture.  But at the moment I'm not worried about poor service because that's not the subject of this review. The sausages are strange and therefore of poor quality.  It has nothing to do with a good, traditional Polish sausage. Such places make traditional Polish cuisine look much worse than it is.  Shame.
❌  Not recommended!",1722932758,False,Negative,Negative,Negative
ChIJwS7rmO7MHkcRuwToXWka7gs,Ivy Mac,en,en,5,a year ago,"Such a friendly welcome and servers very knowledgeable about their product.  Didn't know what we wanted to drink so the lovely person (the owner)  serving us let us taste a few craft ciders and beers before hand. My cider was delicious and the beer was good too. We chose to split the pastrami sandwich and happy that we did   - it was huge (it doesn't appear that way in the photo, but it was)! Served on thick slices of toasted delicious bread, filled with lots of pastrami,  cheese,  coleslaw, lots of pickles and delicious Russian dressing. Best pastrami sandwich ever - go, go, go!",1682934263,False,Positive,Positive,None
ChIJwS7rmO7MHkcRuwToXWka7gs,Olafur Olafsson,en,en,4,3 months ago,"Dangerously good Pastrami Sandwich in a nice, hipster food court.
Pastrami, coleslaw, pickles and creamy sauce with their own brew.",1720695515,False,Positive,Positive,None
ChIJwS7rmO7MHkcRuwToXWka7gs,Alex Siamantas,en,en,5,a year ago,"Kielba is placed inside a really nice industrial food hall. The vibe is terrific, and the food is even more amazing. You will love their burgers just from touching the ultra soft bun, and you will be stunned once you taste their juicy patty! I  totally recommend it!",1682025632,False,Positive,None,Positive
ChIJZ6Mm9CvNHkcR8X0Q_rNKHTY,Alex Vallee,en,en,5,2 months ago,"Visiting Poland for the first time. I went there with a friend who knew the place. Simply put, It was one of the best dining experience of my life! The food is simply out of this world, the staff is caring and friendly, and overall, the prices are worth it! I never had a beef tartar so good that you just eat it with a fork, no bread involved. The goose was amazing too. All the dishes on the menu are freshly made, and the portions are perfectly sized. If I was on my death bed and only had one last meal, it would be from Stary Dom 😍",1722757770,False,Positive,Positive,Positive
ChIJZ6Mm9CvNHkcR8X0Q_rNKHTY,inna korob,en,en,5,3 months ago,"Our first time here, group of 7 . Enjoyed  our dinner very much. Beautiful place with great atmosphere,  the service was very good,  slow food , so don't come very hungry;) Food was very good,  tartar beyond words,
the best we've ever had. Nice tomato  buratta salad. For main dishes we took rabbit,  spare ribs, roast half duck, pasta.  Nice desserts. Everything was very tasty.  Would like to come back,  especially for tartare. Definitely recommend this place .",1722488088,False,Positive,Positive,Positive
ChIJZ6Mm9CvNHkcR8X0Q_rNKHTY,Mathieu Labro,en,en,5,3 months ago,"Good restaurant, good food, good service, good decor. I definitely recommend this place even if it is expensive.

The staff was welcoming and smiling. They spoke a little bit of french to make us smile and provide advice when selecting dishes with wine.

The food was well made with great taste and quantity. We really enjoyed it as it was well balanced.

The restaurant is made of wood everywhere and it gives a nice vibe.",1721239910,False,Positive,Positive,Positive
ChIJZ6Mm9CvNHkcR8X0Q_rNKHTY,Dominik LastName,en,en,5,5 months ago,"Ms Aleksandra Event Manager was very helpful and informative when we were booking our visit for 12 people.

Our waiter Daniel was incredible. He was great as a waiter, funny , attentive and everything great. He took care of us very well and informed us of each stage of our experience.

The food was amazing and the chocolate raspberry cake was heavenly. All be it a bit pricey but definitely worth it.

Thank you for our visit and we will gladly return",1716489102,False,Positive,Positive,Positive
ChIJZ6Mm9CvNHkcR8X0Q_rNKHTY,Markus Volk,en,en,4,2 months ago,"Very close call to 5 stars, as it was an overall solidly positive experience.  Food is tasty, portions sufficient and the atmosphere is phenomenal. Sadly our service was quite slow. We had to wait and wave our arms for sometimes up to 10 minutes before getting noticed. But maybe we were just unlucky that night. Generally can wholeheartedly recommend if your looking for a higher-standard Polish cuisine option. Also, it's not expensive for what you get. However,  if on a budget you can find cheaper options to dine we'll in Warsaw.",1724774155,False,Positive,Positive,Positive
ChIJZfHv8pHNHkcRzeXwsx48x-0,Arik Burakovsky,en,en,4,a year ago,"I had a splendid dinner here while staying at Hotel Warszawa. The food was simple yet tasty, the atmosphere was cozy, and the service was impeccable. I ordered mixed greens, meat dumplings with chicken broth, herring with ginger, and the Warsaw 75 cocktail. I found everything delicious, except for the herring, which I found too sour. They also offered some complimentary snacks, which was a nice touch. I found it a bit odd though that there were almost no people in the restaurant, leaving the waiters without much to do.",1696184132,False,Positive,Positive,Positive
ChIJZfHv8pHNHkcRzeXwsx48x-0,Michal Kaczor,en,en,3,3 weeks ago,"The decor is phenomenal with its airy space and intriguing marbles and stones.

Food was uneven. Cheeses were ok, mushroom soup portion was too big and the taste was a bit bland, the steak was chewy and arrived cold.

Service was bad. When I suggested to the waitress that she should ask people at our table whether they wanted any alcohol to drink, she threw a wine menu on the table and didn’t ask. She also didn’t know how to recommend food and she seemed moody.",1728196847,False,Positive,Negative,Positive
ChIJZfHv8pHNHkcRzeXwsx48x-0,Timur Munatayev,en,en,5,10 months ago,Fascinating atmosphere. Classic Polish kitchen with a big vine list. Here you can find best tartar in Warsaw.,1703797415,False,Positive,None,Positive
ChIJZfHv8pHNHkcRzeXwsx48x-0,kat.borkowska,en,en,5,4 years ago,"We had a blast! Menu is great! Food is simple but honest and you can feel that ingredients are high quality. Service is great and while
Interior is very beautiful. If you go you need to try “grzybowa pasztetowa” it tastes like mushroom most delicious mousse you will ever have",1590177215,False,Positive,Positive,Positive
ChIJZfHv8pHNHkcRzeXwsx48x-0,Lynn z.,en,en,5,4 years ago,"Great find in Warsaw, surprised by the quality of the food, chef Darius has been doing some great job here, amazing bread made every day plus other top ingredients making this place one of the top choices for fine dining in Warsaw. Do not pick on the service, though.",1583623449,False,Positive,None,Positive
ChIJ6x2MNfHMHkcRM3JsrVcnf6I,Ksenia,en,en,5,2 months ago,"We tried this restaurant thanks to a recommendation of a local friend and we absolutely loved it. We were greeted by a piano playing and the atmosphere felt special. The service is exceptional. We had burrata, steak tartar and spaghetti with shrimp and courgette and they were amazing. Definitely recommend an outdoor seat as you can enjoy the terrace.",1722718048,False,Positive,Positive,Positive
ChIJ6x2MNfHMHkcRM3JsrVcnf6I,Food Reviews,en,en,3,5 months ago,"Very average and overpriced food. The service was great, the atmosphere was ok, but the food wasn’t worth the price. It was lacking taste and finesse, the prices here are beating top restaurants in Warsaw, but they are nowhere near the quality and taste of such. The staff was welcoming, nice, kind and chatty! But the food which should be the star was mediocre. Will not come again!",1716663007,False,Negative,Positive,Positive
ChIJ6x2MNfHMHkcRM3JsrVcnf6I,Przemek Tuliszka,en,en,5,4 months ago,"Monday, 1:30 PM – a fantastic spot for a family lunch or business meeting. Very friendly service, and a great place where you can enjoy your meal in peace and quiet. This time, we had five courses, all small, elegant, and delicious. I highly recommend this place for any occasion.",1718633369,False,Positive,Positive,Positive
ChIJ6x2MNfHMHkcRM3JsrVcnf6I,Yiğit Yeşilpınar,en,en,4,5 months ago,We took the set menu. We enjoyed it but you need to have good amount of spare time. I recommend the ravioli.,1716029768,False,Positive,None,None
ChIJ6x2MNfHMHkcRM3JsrVcnf6I,Büşra,en,en,1,a month ago,"It may be a stylish restaurant, but you pay an exorbitant price because they charge a service fee per person. I don't understand what's so expensive here.",1726786357,False,None,None,None
